MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,RAJPUTANA,RAJPUTANA BIODIESEL LTD,       277.05,       278.60,       281.05,       278.20,       278.20,                  1259775.00,4500, ,       383.85,       173.15
N,SM,RAPIDFLEET,RAPID FLEET MGT SERVICE L,       192.00,       187.00,       192.00,       187.00,       192.00,                   340200.00,1800, ,       229.00,       171.00
N,SM,RAPPID,RAPPID VALVES (INDIA) LTD,       329.40,       333.00,       335.95,       315.00,       318.40,                  3852000.00,12000, ,       430.00,       215.20
N,SM,RBMINFRA,RBM INFRACON LIMITED,       458.50,       460.00,       474.65,       455.00,       459.45,                  7662580.00,16600, ,      1049.00,       249.85
N,SM,RBS,RAMDEVBABA SOLVENT LTD,       122.30,       121.00,       126.50,       121.00,       125.25,                  3381600.00,27200, ,       150.50,        91.50
N,SM,RCDL,RAJGOR CASTOR DERIVATI L,        27.50,        27.00,        27.00,        26.80,        26.80,                   161400.00,6000, ,        35.05,        16.55
N,SM,REFRACTORY,REFRACTORY SHAPES LIMITED,        46.05,        44.80,        45.85,        43.75,        45.45,                  1238400.00,28000, ,       136.45,        43.75
N,SM,REMUS,REMUS PHARMACEUTICALS L,       719.45,       740.00,       740.00,       719.00,       722.70,                   949895.00,1300, ,      2771.00,       700.00
N,SM,REXPRO,REXPRO ENTERPRISES LTD,        79.75,        81.95,        82.00,        80.00,        81.30,                   489850.00,6000, ,       120.00,        70.05
N,SM,RICHA,RICHA INFO SYSTEMS LTD,        58.60,        56.00,        56.00,        55.70,        55.70,                   167400.00,3000, ,       102.05,        50.00
N,SM,RILINFRA,RACHANA INFRA LTD,        34.45,        34.80,        35.30,        34.80,        35.15,                   188975.00,5400, ,        58.85,        25.55
N,SM,RNFI,RNFI SERVICES LIMITED,       343.45,       343.45,       358.90,       343.45,       355.30,                 10357140.00,29400, ,       404.00,       109.80
N,SM,ROCKINGDCE,ROCKINGDEALS CIRCU ECO L,       202.00,       204.00,       204.00,       184.20,       187.35,                   438612.50,2250, ,       650.00,       160.55
N,SM,ROXHITECH,ROX HI TECH LIMITED,        45.50,        46.00,        46.00,        43.50,        46.00,                  1383920.00,30400, ,       128.50,        35.05
N,SM,ROYALARC,ROYAL ARC ELECTRODES LTD,       169.90,       161.10,       169.00,       161.10,       165.10,                  1796760.00,10800, ,       187.80,       114.25
N,SM,RTL,RAMA TELECOM LIMITED,        63.05,        67.00,        69.00,        64.00,        64.00,                  3451600.00,52000, ,        75.00,        58.55
N,SM,RULKA,RULKA ELECTRICALS LIMITED,       116.85,       119.95,       120.00,       115.50,       120.00,                   392535.00,3300, ,       449.90,       113.95
N,SM,SACHEEROME,SACHEEROME LIMITED,       210.00,       210.00,       219.00,       208.50,       217.00,                  4640100.00,21600, ,       247.00,       140.50
N,SM,SADHAV,SADHAV SHIPPING LIMITED,       112.60,       113.00,       113.00,       108.05,       108.45,                  1909890.00,17400, ,       190.00,        76.95
N,SM,SAFEENTP,SAFE ENTER RETAIL FIX LTD,       183.90,       186.00,       187.15,       181.00,       186.95,                 14371100.00,78000, ,       249.25,       151.00
N,SM,SAHAJSOLAR,SAHAJ SOLAR LIMITED,       233.90,       234.90,       234.90,       230.75,       231.90,                  3525500.00,15200, ,       644.50,       194.00
N,SM,SAHANA,SAHANA SYSTEM LIMITED,      1075.90,      1075.90,      1098.55,      1050.00,      1073.60,                 21982718.75,20625, ,      2135.00,       990.85
N,SM,SAHASRA,SAHASRA ELECTRONIC SOLU L,       293.20,       295.00,       301.95,       293.00,       299.70,                  4862820.00,16400, ,      1013.00,       227.50
N,SM,SAIFL,SAMEERA AGRO AND INFRA L,        16.40,        17.00,        17.00,        16.15,        16.80,                  3128200.00,188000, ,       113.65,        14.45
N,SM,SAJHOTELS,SAJ HOTELS LIMITED,        72.70,        72.70,        72.70,        72.10,        72.45,                   869400.00,12000, ,        86.50,        40.10
N,SM,SAMAY,SAMAY PROJECT SERVICES L,        34.60,        34.00,        34.00,        34.00,        34.00,                   136000.00,4000, ,        37.50,        28.80
N,SM,SARTELE,SAR TELEVENTURE LIMITED,       179.50,       180.80,       187.00,       170.00,       176.95,                 13479875.00,75500, ,       375.00,       169.95
N,SM,SATECH,S A TECH SOFTWARE INDIA L,        54.40,        54.70,        55.75,        54.00,        55.70,                   493500.00,9000, ,       165.90,        45.00
N,SM,SATIPOLY,SATI POLY PLAST LIMITED,        64.05,        67.25,        67.25,        67.20,        67.20,                   235275.00,3500, ,       268.70,        60.15
N,SM,SATKARTAR,SAT KARTAR SHOPPING LTD,       155.00,       154.00,       155.00,       154.00,       155.00,                  2712000.00,17600, ,       241.95,       130.20
N,SM,SATTVAENGG,SATTVA ENGINEERING CSTN L,       100.05,       100.05,       100.40,        97.50,        98.55,                  5247040.00,52800, ,       118.90,        94.00
N,SM,SAVY,SAVY INFRA AND LOGI LTD,       135.00,       134.95,       137.00,       134.95,       137.00,                   326340.00,2400, ,       152.00,       121.00
N,SM,SAWALIYA,SAWALIYA FOOD PRODUCTS L,       229.65,       237.15,       240.00,       237.15,       239.95,                 29182320.00,122400, ,       301.00,       216.60
N,SM,SCML,SHARP CHUCKS N MACHINES L,       110.90,       110.05,       112.00,       108.20,       109.55,                  1430450.00,13000, ,       148.00,        68.05
N,SM,SEL,SUNGARNER ENERGIES LTD,       240.00,       240.00,       242.00,       240.00,       242.00,                    96400.00,400, ,       665.00,       223.50
N,SM,SELLOWRAP,SELLOWRAP INDUSTRIES LTD,        97.50,        97.50,        99.85,        97.50,        99.80,                  1107360.00,11200, ,       139.65,        85.05
N,SM,SFML,SUPREME FACILITY MGMT LTD,        40.95,        40.00,        40.00,        40.00,        40.00,                   320000.00,8000, ,        75.00,        27.40
N,SM,SHANTHALA,SHANTHALA FMCG PRODUCTS L,        36.30,        32.50,        32.50,        32.50,        32.50,                    78000.00,2400, ,        61.00,        20.40
N,SM,SHEETAL,SHEETAL UNIVERSAL LIMITED,       142.25,       143.00,       144.50,       143.00,       144.25,                  3167900.00,22000, ,       144.50,        59.15
N,SM,SHERA,SHERA ENERGY LIMITED,       125.20,       125.00,       127.00,       125.00,       127.00,                   377000.00,3000, ,       235.00,       125.00
N,SM,SHIGAN,SHIGAN QUANTUM TECH LTD,        68.95,        66.00,        69.90,        66.00,        69.85,                   409125.00,6000, ,       139.00,        61.50
N,SM,SHIVASHRIT,SHIVASHRIT FOODS LIMITED,       128.00,       129.90,       129.90,       129.90,       129.90,                   129900.00,1000, ,       148.50,       123.15
N,SM,SHKSIL,SHRI HARE-KRI SPO IRON L,        61.40,        63.90,        65.90,        63.90,        65.90,                   518300.00,8000, ,        84.00,        54.05
N,SM,SHREEKARNI,SHREE KARNI FABCOM LTD,       677.55,       670.00,       670.00,       635.05,       649.60,                  7809082.50,12000, ,       852.90,       480.00
N,SM,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,       114.90,       114.00,       114.00,       112.00,       112.00,                   454000.00,4000, ,       188.00,        82.70
N,SM,SHRITECH,SHRI TECHTEX LIMITED,        67.60,        72.30,        72.30,        71.85,        71.85,                   288300.00,4000, ,        95.50,        56.00
N,SM,SHUBHSHREE,SHUBHSHREE BIOFUELS ENE L,       445.00,       418.00,       430.25,       418.00,       430.25,                  1771980.00,4200, ,       494.95,       200.00
N,SM,SILKY,SILKY OVERSEAS LIMITED,       117.00,       120.70,       121.00,       120.60,       120.75,                   386400.00,3200, ,       171.00,       103.00
N,SM,SJLOGISTIC,S J LOGISTICS (INDIA) LTD,       385.35,       386.70,       391.00,       377.10,       380.75,                 12249187.50,32000, ,       725.00,       350.05
N,SM,SMARTEN,SMARTEN POWER SYSTEMS LTD,        96.80,        92.20,        95.50,        92.20,        93.30,                  1239300.00,13200, ,       157.95,        80.75
N,SM,SMVD,SMVD POLY PACK LIMITED,         6.40,         5.90,         5.90,         5.90,         5.90,                    23836.00,4040, ,        21.70,         5.90
N,SM,SNEHAA,SNEHAA ORGANICS LIMITED,        93.30,        95.50,        95.50,        90.00,        92.35,                  1833550.00,20000, ,       122.00,        81.05
N,SM,SOLEX,SOLEX ENERGY LIMITED,      1680.65,      1690.00,      1705.45,      1678.05,      1694.55,                 30469462.50,18000, ,      1786.70,       630.90
N,SM,SONAMAC,SONA MACHINERY LIMITED,        76.50,        74.00,        76.00,        74.00,        76.00,                   225300.00,3000, ,       185.70,        67.00
N,SM,SPCL,SHIVALIC POWER CONTROL L,       101.00,       101.00,       103.00,        99.40,       101.40,                  2908650.00,28800, ,       279.00,        93.00
N,SM,SPECTSTM,SPECTRUM TALENT MGMT LTD,        97.60,        97.60,       101.95,        97.60,       101.95,                   241200.00,2400, ,       216.00,        97.10
N,SM,SPPPOLY,SPP POLYMER LIMITED,        17.15,        17.00,        17.00,        16.65,        17.00,                   101300.00,6000, ,        48.00,        13.25
N,SM,SPRL,SP REFRACTORIES LIMITED,       136.75,       142.95,       142.95,       142.95,       142.95,                   114360.00,800, ,       195.00,       104.55
N,SM,SPUNWEB,SPUNWEB NONWOVEN LIMITED,       151.95,       150.00,       150.00,       148.00,       148.50,                  2329260.00,15600, ,       173.55,       130.50
N,SM,SRIVASAVI,SRIVASAVI ADHESIVE TAPE L,        59.10,        60.00,        60.00,        59.15,        59.15,                   119150.00,2000, ,       138.00,        55.00
N,SM,SSEGL,SATHLOKHAR SYN E&C GLOB L,       475.80,       476.00,       480.00,       470.00,       479.35,                 20192200.00,42400, ,       570.00,       312.00
N,SM,SSFL,SRIVARI SPICES N FOODS L,       149.00,       160.00,       160.00,       150.10,       151.00,                   986350.00,6500, ,       368.90,       138.00
N,SM,STUDIOLSD,STUDIO LSD LIMITED,        18.95,        18.95,        20.70,        18.95,        20.45,                  2888800.00,146000, ,        43.20,        18.65
N,SM,SUNLITE,SUNLITE RECYCLING IND LTD,       174.95,       171.50,       171.50,       165.00,       170.00,                  1812540.00,10800, ,       197.00,        91.00
N,SM,SUNTECH,SUNTECH INFRA SOLUTIONS L,        55.90,        57.50,        57.50,        55.50,        55.50,                   542000.00,9600, ,       110.00,        54.50
N,SM,SUPREMEPWR,SUPREME POWER EQUIPMENT L,       200.40,       207.40,       208.70,       199.30,       205.40,                  9718950.00,47500, ,       266.90,       100.00
N,SM,SURANI,SURANI STEEL TUBES LTD.,        82.50,        83.95,        83.95,        83.95,        83.95,                    67160.00,800, ,       318.90,        75.10
N,SM,SWARAJ,SWARAJ SUITING LIMITED,       163.00,       167.90,       168.00,       164.40,       165.95,                  2170550.00,13000, ,       312.25,       138.50
N,SM,SWASTIK,SWASTIK PIPE LIMITED,        30.00,        30.50,        30.50,        28.90,        29.90,                   530820.00,18000, ,        71.05,        28.90
N,SM,SYNOPTICS,SYNOPTICS TECHNOLOGIES L,       104.00,       100.00,       102.50,       100.00,       102.50,                   182760.00,1800, ,       129.90,        51.50
N,SM,SYSTANGO,SYSTANGO TECHNOLOGIES LTD,       222.50,       222.50,       228.90,       221.50,       227.40,                  1440320.00,6400, ,       301.30,       192.25
N,SM,TAURIAN,TAURIAN MPS LIMITED,       296.70,       292.10,       310.00,       292.10,       307.95,                 16262680.00,53600, ,       339.70,       210.00
N,SM,TBI,TBI CORN LIMITED,        90.00,        90.00,        90.00,        86.00,        87.40,                  1582260.00,18000, ,       222.50,        75.20
N,SM,TCL,THAAI CASTING LIMITED,       123.35,       123.35,       128.30,       121.00,       122.15,                  1293640.00,10400, ,       188.00,        77.15
N,SM,TECHERA,TECHERA ENGINEER (IND) L,       261.60,       262.50,       267.80,       248.55,       248.55,                404630840.00,1616800, ,       268.80,       115.60
N,SM,TECHLABS,TRIDENT TECHLABS LIMITED,       499.00,       494.05,       508.00,       490.00,       495.85,                  4424868.75,8875, ,      1670.00,       401.05
N,SM,TGL,TEERTH GOPICON LIMITED,        54.25,        52.60,        53.70,        51.55,        51.55,                  6130080.00,117800, ,       660.00,        47.20
N,SM,THESL,THINKING HATS ENTER SOL L,        37.50,        39.00,        39.35,        38.90,        39.35,                  5536500.00,141000, ,        61.00,        25.70
N,SM,TIRUPATI,SHREE TIRUPATI BALAJEE,       590.50,       601.00,       620.00,       563.00,       620.00,                   584250.00,1000, ,       999.85,       452.95
N,SM,TRANSTEEL,TRANSTEEL SEATING TECH L,       130.30,       133.80,       133.80,       128.00,       132.40,                  5534100.00,42000, ,       147.10,        42.00
N,SM,TRANSWIND,TRANSWIND INFRA LIMITED,        15.40,        16.15,        16.15,        16.15,        16.15,                    64600.00,4000, ,        28.40,        12.70
N,SM,TROM,TROM INDUSTRIES LIMITED,        93.30,        95.80,        96.00,        93.40,        94.25,                   284730.00,3000, ,       280.00,        90.55
N,SM,TRUST,TRUST FINTECH LIMITED,        48.95,        48.95,        48.95,        47.30,        47.55,                   401640.00,8400, ,       220.80,        42.70
N,SM,TSC,TSC INDIA LIMITED,        61.60,        63.15,        63.15,        63.15,        63.15,                   126300.00,2000, ,        79.30,        58.65
