SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,COMPANY,NAME OF THE ACQUIRER/DISPOSER,VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT),PROMOTER & PROMOTER GROUP (A),MARKET,SERIES,SECURITY,PREV_CL_PR
SAFARI,,,,,Safari Industries (India) Limited,VEERESH S BELGUR,3306,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,NRUPAL MEHTA,498000,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,NRUPAL MEHTA,2834,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,NRUPAL MEHTA,1215780,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,DEEPAK BARTWAL,5475097,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,AJENDRA SINGH,3506,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,AJENDRA SINGH,4402500,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,Paritosh Sinha,13926,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,Paritosh Sinha,5481146,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,NAZUK KESHAN,2223250,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SAFARI COMMERCIAL LLP,432000000,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SATYABRATA MITRA,1246615,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SATYABRATA MITRA,1097500,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,KASHMIRA MITRA,1100000,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,KASHMIRA MITRA,1097500,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SANTOSH KUMAR,1212000,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SANTOSH KUMAR,3500,Buy,,44.91,,,,
